entry_id,formula,working_ion,space group,ave_voltage
mp-504791,P(WO4)2,Li,19,2.33
mp-767085,P3W2O13,Li,14,3.29
mp-777230,P8W3O29,Li,165,3.61
mvc-5592,P2WO7,Li,2,3.2
mp-773366,P2WO7,Li,4,2.44
mp-761353,P4WO13,Li,1,4.32
mp-767481,P4WO13,Li,19,5.21
mp-761345,P4WO12,Li,4,3.07
mp-767578,P4WO12,Li,12,3.32
mp-767549,P4WO12,Li,15,3.39
mp-767563,P4WO12,Li,15,3.65
mp-767776,P4WO12,Li,15,3.52
mp-767180,Li2MnOF3,Li,12,2.99
mp-763875,LiMn3OF8,Li,7,3.66
mp-767187,Mn5OF11,Li,1,3.83
mp-763854,Mn3OF6,Li,2,3.67
mp-767164,Mn4OF8,Li,9,3.63
mp-767172,Mn2OF3,Li,62,3.03
mp-767195,Mn5O3F5,Li,160,2.8
mp-767193,Mn7O7F,Li,156,2.24
mp-765296,Li9Fe4(BO3)8,Li,1,4.47
mp-764235,Li3Co2Cu3O10,Li,2,3.59
mp-761730,LiCo3CuO8,Li,12,3.2
mp-540145,Fe(PO3)5,Li,11,5.33
mp-1101552,FeP4O13,Li,2,5.48
mp-705437,Li3Fe3P8O29,Li,1,5.12
mp-540454,Li3FeP2O9,Li,1,4.63
mp-1101549,Fe4P9O32,Li,114,5.14
mp-762711,Li2Fe(PO4)2,Li,2,4.99
mp-762856,Li2Fe(PO4)2,Li,9,4.77
mp-697819,Fe2P3O13,Li,2,4.41
mp-699352,LiFe2(PO4)3,Li,12,4.76
mp-540420,LiFe2(PO4)3,Li,15,5.48
mvc-11637,Fe3P3O13,Li,11,5.07
mp-1048396,FeP2O7,Li,14,5.3
mp-1101522,LiFeP2O7,Li,15,4.46
mp-704185,Fe4(PO4)3,Li,62,4.29
mp-773306,CrCo5O12,Li,12,3.79
mp-775117,Cr(CoO3)2,Li,64,3.82
mp-771924,Cr3Co5O16,Li,1,3.91
mp-861261,Cr3(CoO6)2,Li,14,3.63
mp-763336,Li2Cr3CoO8,Li,12,3.44
mp-1101525,LiSn(PO3)4,Li,4,4.1
mp-757131,Sn(PO3)4,Li,15,2.96
mp-27094,LiSn2(PO4)3,Li,14,2.36
mp-673117,Sn2P3O10,Li,15,4.57
mp-763765,Li2Fe3(BO3)3,Li,6,7.37
mp-850498,LiFe8(BO3)8,Li,1,2.97
mp-849720,LiFe4(BO3)4,Li,1,2.97
mp-767454,PWO5,Li,1,2.62
mp-767771,P3W2O13,Li,2,3.3
mp-767436,P3W2O13,Li,14,3.46
mp-763200,LiVO3,Li,1,3.13
mp-767435,P3(WO6)2,Li,14,2.4
mp-851036,P3(WO6)2,Li,148,2.44
mp-767148,P2WO8,Li,14,3.99
mp-774289,V5O12,Li,5,3.0
mp-763357,LiP2WO8,Li,12,2.75
mp-767803,P2WO8,Li,14,3.73
mp-767567,P2WO8,Li,19,3.61
mp-761371,P5WO15,Li,2,4.28
mp-540341,FePO4,Li,159,3.86
mp-767263,LiFe2(PO4)2,Li,1,3.69
mp-694541,FePO4,Li,14,3.12
mp-1101554,FePO4,Li,33,3.32
mp-850493,P4WO12,Li,60,3.58
mp-767574,Li7Mn(O2F)2,Li,1,1.6
mp-767185,Li7Mn(O2F)2,Li,1,1.43
mp-767174,Li3MnOF4,Li,8,2.85
mp-767186,LiMn3(OF3)2,Li,1,3.34
mp-767627,Mn3(OF3)2,Li,14,5.0
mp-764407,Li7VO5F,Li,1,1.34
mp-714960,VO2,Li,88,2.38
mp-767119,Li3Mn3O5F3,Li,1,2.68
mp-766920,Mn2O2F3,Li,1,4.54
mp-767182,Mn5OF11,Li,1,3.8
mp-763856,Mn3OF6,Li,1,3.6
mp-762390,LiV5O10,Li,1,2.57
mp-765509,LiV(OF)2,Li,3,3.72
mp-697733,FeP2O7,Li,1,4.1
mp-540323,FeP2O7,Li,14,5.05
mp-765034,Mn2OF3,Li,62,2.97
mp-763860,Mn2OF3,Li,12,3.05
mp-767610,Mn2O3F,Li,62,4.03
mp-766870,Mn5O9F,Li,1,3.23
mp-861565,Mn7(OF3)3,Li,1,3.29
mp-767239,Mn5O3F5,Li,8,2.72
mp-766932,Mn5O7F,Li,160,3.74
mp-767352,Mn5O5F,Li,156,2.23
mp-770859,Mn3Co3(CuO8)2,Li,8,4.09
mp-767828,Li2Fe(BO3)2,Li,14,4.39
mp-767662,Li3Fe3(BO3)4,Li,7,2.96
mp-764690,Li2V(OF)2,Li,74,2.54
mp-765956,LiV(OF)2,Li,14,3.01
mp-777223,V3OF11,Li,1,4.42
mp-778699,V3OF11,Li,1,4.49
mp-764053,V3OF11,Li,1,4.28
mp-764082,V3OF11,Li,2,3.93
mp-540177,FeP2O7,Li,15,5.19
mp-765865,CrCo3O8,Li,166,3.52
mp-770163,Cr2(SO4)3,Li,14,2.85
mp-851282,Cr(SO4)2,Li,61,4.14
mp-767935,LiCoCuO4,Li,2,3.63
mp-763208,Li3Fe2(BO4)2,Li,7,3.09
mp-773979,Cr(SO4)2,Li,146,5.33
mp-765763,Cr(SO4)2,Li,146,5.31
mp-765700,V6O5F19,Li,1,4.11
mp-764557,V6O5F19,Li,1,3.68
mp-763359,LiCr2CoO6,Li,1,3.57
mp-769974,Li2Cr3CoO8,Li,1,3.62
mp-767908,LiCo2CuO6,Li,8,3.25
mp-763780,Fe(PO3)3,Li,2,3.69
mp-1101584,Fe2P5O16,Li,13,3.75
mp-540054,Fe(PO3)4,Li,62,4.67
mp-31874,Fe(PO3)4,Li,12,5.32
mp-31877,Fe3(P3O10)2,Li,20,4.48
mp-705433,Fe5(P2O7)4,Li,2,3.58
mp-781081,VOF3,Li,4,4.4
mp-764252,VOF3,Li,14,4.08
mp-764287,VOF3,Li,19,4.14
mp-764274,VOF3,Li,113,4.08
mp-764241,VOF3,Li,29,4.0
mp-764632,VOF3,Li,30,3.74
mp-26172,Sn(PO3)3,Li,2,4.15
mp-673029,LiSn2P5O16,Li,7,3.48
mp-757076,SnP2O7,Li,14,2.66
mp-673144,LiSnP2O7,Li,9,4.53
mp-762755,Li2Fe(PO4)2,Li,1,4.24
mp-540498,Fe2P3O10,Li,11,3.76
mp-705395,Fe3P4O15,Li,33,3.72
mp-31866,Fe2(PO4)3,Li,14,4.01
mp-1101553,Fe3(PO4)4,Li,2,4.89
mp-774050,V4OF11,Li,2,2.84
mp-777967,V4(OF3)3,Li,1,2.91
mp-774383,V4(OF3)3,Li,1,2.92
mp-765695,V4(OF3)3,Li,1,2.92
mp-779309,V4(OF3)3,Li,1,2.95
mp-540395,Sn4(PO4)3,Li,173,3.79
mp-38487,Li7BiO6,Li,1,1.85
mp-773942,Li3Fe2(PO4)3,Li,5,3.0
mp-1101524,LiFe2(PO4)3,Li,13,4.09
mp-779370,V4(OF3)3,Li,1,2.94
mp-1101199,V4(OF3)3,Li,5,2.78
mp-778714,V4O5F7,Li,1,3.36
mp-765764,V4O5F7,Li,5,3.63
mp-1101221,V4O5F7,Li,1,3.32
mp-767823,Li3Fe2(PO5)2,Li,64,4.57
mp-767826,Li2FePO5,Li,7,2.74
mp-540486,Fe3(P2O7)2,Li,14,3.61
mp-1041062,Fe2P2O9,Li,1,5.17
mp-1177729,Li3Fe4(P2O7)4,Li,1,4.09
mp-1178257,Fe7(PO4)8,Li,8,3.94
mp-540050,Fe3P3O11,Li,14,3.02
mp-763973,V4O7F5,Li,1,3.42
mp-764012,V2OF5,Li,1,2.58
mp-767783,FeP2O7,Li,14,3.89
mp-540440,FeP2O7,Li,9,5.37
mp-1101258,TiS2,Li,164,1.99
mp-764633,V2OF5,Li,7,3.55
mp-764367,V2OF5,Li,9,3.24
mp-763169,V2(OF)3,Li,1,3.31
mp-778922,V2(OF)3,Li,1,3.38
mp-763965,V2(OF)3,Li,1,3.34
mp-764432,V3(OF3)2,Li,2,3.34
mp-1101521,LiFeP2O7,Li,1,3.57
mp-540409,FeP2O7,Li,14,3.98
mp-540432,Fe5(PO4)4,Li,2,2.81
mp-31780,Fe4(PO4)3,Li,9,2.65
mp-763767,Fe5P3O13,Li,2,2.77
mp-765852,Cr(CoO3)2,Li,1,3.84
mp-770909,CrCo3O8,Li,166,4.45
mp-764353,V2O2F3,Li,63,3.29
mp-850238,V9O22,Li,6,3.54
mp-763109,Li2Cr3(CoO4)3,Li,2,3.31
mp-773919,Cr3(CoO6)2,Li,60,4.27
mp-861562,CrCo3O8,Li,9,4.12
mp-762011,LiCrCoO4,Li,74,3.3
mp-757479,Li2Sn(PO3)6,Li,1,3.91
mp-1178157,K(WO3)3,Li,1,1.94
mp-777327,V6O7F5,Li,1,1.86
mp-849565,V2O5,Li,13,3.29
mp-25620,V2O5,Li,59,3.17
mp-543104,V2O5,Li,62,3.1
mp-757156,Sn(PO3)4,Li,15,3.1
mp-757495,Sn(PO3)4,Li,15,3.26
mp-765595,Sn(PO3)3,Li,19,3.53
mp-684482,Sn(PO3)3,Li,19,4.36
mp-1101518,Sn(PO3)3,Li,149,2.8
mp-26950,Sn2(PO3)5,Li,7,4.16
mp-776484,Li6Sn3P8O29,Li,1,1.89
mp-25908,Sn(PO3)4,Li,60,2.77
mp-26856,LiSn(PO3)4,Li,134,3.91
mp-26762,Sn(PO3)3,Li,19,3.47
mp-757192,SnP2O7,Li,2,2.68
mp-763778,Li2Ni3TeO8,Li,12,3.62
