,tsen1,tsen2,local_energy,table_num,element,voltage_color,M_neighbor,spacegroup
0,-8.670235,9.687041,5.240963935852051,25,Mn,7,7,146
1,-74.302216,8.705221,4.12135124206543,25,Mn,6,6,146
2,-9.259983,10.850576,6.696391582489014,25,Mn,7,6,146
3,-74.275246,8.508746,4.709012508392334,25,Mn,6,7,146
4,-74.334724,8.419944,3.990589141845703,25,Mn,6,6,146
5,-76.13826,34.789543,5.390847682952881,51,Sb,7,6,146
6,17.770979,-72.01749,4.166562080383301,15,P,6,4,146
7,17.770983,-72.01747,4.166586399078369,15,P,6,4,146
8,17.771852,-72.01642,4.166528701782227,15,P,6,4,146
9,19.747444,-78.70996,4.026866912841797,15,P,6,4,146
10,19.746618,-78.710075,4.02676248550415,15,P,6,4,146
11,19.74662,-78.71006,4.0267767906188965,15,P,6,4,146
12,-57.275932,0.114587195,7.365516662597656,25,Mn,7,12,166
13,-6.555781,-22.084513,5.756211280822754,27,Co,7,12,166
14,-6.555895,-22.084444,5.756214141845703,27,Co,7,12,166
15,-6.5572453,-22.086035,5.756146430969238,27,Co,7,12,166
16,16.629051,58.987427,-1.660417079925537,3,Li,3,8,11
17,16.628935,58.98748,-1.660417079925537,3,Li,3,8,11
18,51.01067,-34.16122,-0.9634084701538086,23,V,4,7,11
19,51.010647,-34.16122,-0.9634084701538086,23,V,4,7,11
20,-53.187466,50.905525,8.689278602600098,14,Si,7,4,11
21,-53.187466,50.905525,8.689278602600098,14,Si,7,4,11
22,17.570229,50.24718,0.47681593894958496,3,Li,4,13,1
23,31.811598,45.373825,0.579585075378418,3,Li,4,12,1
24,31.740053,45.33687,1.6189298629760742,3,Li,5,13,1
25,17.420803,50.338356,2.0785398483276367,3,Li,5,12,1
26,-6.007686,42.72361,0.39850497245788574,28,Ni,4,16,1
27,-4.3362803,28.53605,2.533724308013916,28,Ni,5,15,1
28,-4.4590287,28.740316,3.659694194793701,28,Ni,6,15,1
29,-4.271012,28.64582,3.4551637172698975,28,Ni,6,14,1
30,-16.66248,32.839935,3.6190431118011475,28,Ni,6,16,1
31,-31.840313,-4.4795995,4.148909568786621,25,Mn,6,12,1
32,-32.037777,-4.917342,4.208550453186035,25,Mn,6,12,1
33,-32.275013,-5.0444474,4.128859519958496,25,Mn,6,12,1
34,-32.088158,-4.7751718,3.902540683746338,25,Mn,6,12,1
